"INDIVIDUAL_ID","MONTANDONI","VULGARIS","MARKER","SPECIES","CLEAR","HYBRID_ZONE"
"1531",1.03154995538546e-05,0.999989684500446,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1533",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1534",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1535",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1536",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1537",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1545",1.00146915525075e-05,0.999989985308448,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1546",1.00146915525075e-05,0.999989985308448,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1547",1.00146915525075e-05,0.999989985308448,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1548",1.00146915525075e-05,0.999989985308448,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1552",1.00146915525075e-05,0.999989985308448,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1553",1.00146915525075e-05,0.999989985308448,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1559",1.00146915525075e-05,0.999989985308448,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1560",1.00146915525075e-05,0.999989985308448,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1609",0.022557,0.977443,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"1610",0.005094,0.994906,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"1611",0.004053,0.995947,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"1612",0.002998,0.997002,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"1613",0.000493,0.999507,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"1614",0.001307,0.998693,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"1615",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"1616",0.007397,0.992603,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"1617",0.003742,0.996258,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"1618",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"1619",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"1620",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"1621",0.001108,0.998892,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"1624",0.975873,0.024127,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"1626",0.984491,0.015509,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"1630",0.981509,0.018491,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"1631",0.947077,0.0529230000000001,"2849 SNP","montandoni",FALSE,"montandoni_vulgaris"
"1634",0.954135,0.045865,"2849 SNP","montandoni",FALSE,"montandoni_vulgaris"
"1635",0.963834,0.036166,"2849 SNP","montandoni",FALSE,"montandoni_vulgaris"
"1636",0.985089,0.014911,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"1639",0.953616,0.046384,"2849 SNP","montandoni",FALSE,"montandoni_vulgaris"
"1641",0.940875,0.059125,"2849 SNP","montandoni",FALSE,"montandoni_vulgaris"
"1642",0.971751,0.028249,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"1647",0.939141,0.060859,"2849 SNP","montandoni",FALSE,"montandoni_vulgaris"
"1648",0.980969,0.019031,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"1652",0.983405,0.016595,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"1653",0.978805,0.021195,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"1657",0.974853,0.025147,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"18413",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18449",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18450",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18451",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18452",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18453",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18454",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18455",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18456",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18457",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18458",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18459",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18460",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18461",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18462",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18464",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18503",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18504",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18505",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18506",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18507",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18508",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18509",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18510",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18511",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18512",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18513",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18514",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18515",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18516",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18517",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18518",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18519",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18520",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18521",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18522",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1857",1,0,"inferred","montandoni",TRUE,"montandoni_vulgaris"
"18583",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18584",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18585",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18586",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18587",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18588",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18589",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"18590",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
