"INDIVIDUAL_ID","MARKER","BOMBINA","VARIEGATA","SPECIES","CLEAR","HYBRID_ZONE"
"22330","1883_SNP",0.064,0.936,"variegata",FALSE,"bombina_variegata"
"22331","1883_SNP",0.052,0.948,"variegata",FALSE,"bombina_variegata"
"22270","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22271","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22746","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22745","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22177","653_SNP",0.081,0.919,"variegata",FALSE,"bombina_variegata"
"22178","653_SNP",0.041,0.959,"variegata",FALSE,"bombina_variegata"
"22179","653_SNP",0.06,0.94,"variegata",FALSE,"bombina_variegata"
"22180","653_SNP",0.024,0.976,"variegata",TRUE,"bombina_variegata"
"22181","653_SNP",0.05,0.95,"variegata",FALSE,"bombina_variegata"
"22182","653_SNP",0.062,0.938,"variegata",FALSE,"bombina_variegata"
"22195","653_SNP",0.354,0.646,"variegata",FALSE,"bombina_variegata"
"22196","653_SNP",0.732,0.268,"bombina",FALSE,"bombina_variegata"
"22197","653_SNP",0.41,0.59,"variegata",FALSE,"bombina_variegata"
"22198","653_SNP",0.513,0.487,"bombina",FALSE,"bombina_variegata"
"22199","653_SNP",0.53,0.47,"bombina",FALSE,"bombina_variegata"
"22200","653_SNP",0.412,0.588,"variegata",FALSE,"bombina_variegata"
"22232","653_SNP",0.997,0.003,"bombina",TRUE,"bombina_variegata"
"22233","653_SNP",0.98,0.02,"bombina",TRUE,"bombina_variegata"
"22234","653_SNP",0.999,0.001,"bombina",TRUE,"bombina_variegata"
"22235","653_SNP",0.988,0.012,"bombina",TRUE,"bombina_variegata"
"22236","653_SNP",0.999,0.001,"bombina",TRUE,"bombina_variegata"
"22237","653_SNP",1,0,"bombina",TRUE,"bombina_variegata"
"22238","653_SNP",0.998,0.002,"bombina",TRUE,"bombina_variegata"
"22239","653_SNP",0.991,0.00900000000000001,"bombina",TRUE,"bombina_variegata"
"22240","653_SNP",0.997,0.003,"bombina",TRUE,"bombina_variegata"
"22679","1883_SNP",0.031,0.969,"variegata",FALSE,"bombina_variegata"
"22680","1883_SNP",0.051,0.949,"variegata",FALSE,"bombina_variegata"
"22681","1883_SNP",0.012,0.988,"variegata",TRUE,"bombina_variegata"
"22682","1883_SNP",0.02,0.98,"variegata",TRUE,"bombina_variegata"
"22683","1883_SNP",0.025,0.975,"variegata",TRUE,"bombina_variegata"
"22695","1883_SNP",0.023,0.977,"variegata",TRUE,"bombina_variegata"
"22696","1883_SNP",0.016,0.984,"variegata",TRUE,"bombina_variegata"
"22697","1883_SNP",0.016,0.984,"variegata",TRUE,"bombina_variegata"
"22312","1883_SNP",0.998,0.002,"bombina",TRUE,"bombina_variegata"
"22313","1883_SNP",0.995,0.005,"bombina",TRUE,"bombina_variegata"
"22314","inferred",0.99525,0.00475000000000003,"bombina",TRUE,"bombina_variegata"
"22315","1883_SNP",0.996,0.004,"bombina",TRUE,"bombina_variegata"
"22317","inferred",0.99525,0.00475000000000003,"bombina",TRUE,"bombina_variegata"
"22318","1883_SNP",0.995,0.005,"bombina",TRUE,"bombina_variegata"
"22319","1883_SNP",0.996,0.004,"bombina",TRUE,"bombina_variegata"
"22320","1883_SNP",0.996,0.004,"bombina",TRUE,"bombina_variegata"
"22321","1883_SNP",0.994,0.00600000000000001,"bombina",TRUE,"bombina_variegata"
"22322","1883_SNP",0.992,0.00800000000000001,"bombina",TRUE,"bombina_variegata"
"22758","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22739","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22740","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22674","1883_SNP",0.032,0.968,"variegata",FALSE,"bombina_variegata"
"22675","1883_SNP",0.022,0.978,"variegata",TRUE,"bombina_variegata"
"22676","1883_SNP",0.035,0.965,"variegata",FALSE,"bombina_variegata"
"22677","1883_SNP",0.032,0.968,"variegata",FALSE,"bombina_variegata"
"22678","1883_SNP",0.013,0.987,"variegata",TRUE,"bombina_variegata"
"22753","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22742","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22741","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22219","653_SNP",0.047,0.953,"variegata",FALSE,"bombina_variegata"
"22220","653_SNP",0.256,0.744,"variegata",FALSE,"bombina_variegata"
"22221","653_SNP",0.116,0.884,"variegata",FALSE,"bombina_variegata"
"22222","653_SNP",0.075,0.925,"variegata",FALSE,"bombina_variegata"
"22223","653_SNP",0.064,0.936,"variegata",FALSE,"bombina_variegata"
"22224","653_SNP",0.044,0.956,"variegata",FALSE,"bombina_variegata"
"22225","653_SNP",0.068,0.932,"variegata",FALSE,"bombina_variegata"
"22226","653_SNP",0.132,0.868,"variegata",FALSE,"bombina_variegata"
"22227","653_SNP",0.082,0.918,"variegata",FALSE,"bombina_variegata"
"22228","653_SNP",0.162,0.838,"variegata",FALSE,"bombina_variegata"
"22703","1883_SNP",0.008,0.992,"variegata",TRUE,"bombina_variegata"
"22704","1883_SNP",0.005,0.995,"variegata",TRUE,"bombina_variegata"
"22706","inferred",0.0066,0.9934,"variegata",TRUE,"bombina_variegata"
"22700","1883_SNP",0.008,0.992,"variegata",TRUE,"bombina_variegata"
"22701","1883_SNP",0.005,0.995,"variegata",TRUE,"bombina_variegata"
"22702","1883_SNP",0.007,0.993,"variegata",TRUE,"bombina_variegata"
"22757","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22214","653_SNP",0.977,0.023,"bombina",TRUE,"bombina_variegata"
"22248","653_SNP",0.994,0.00600000000000001,"bombina",TRUE,"bombina_variegata"
"22249","653_SNP",0.993,0.00700000000000001,"bombina",TRUE,"bombina_variegata"
