"INDIVIDUAL_ID","SPECIES","CLASS","HYBRID_ZONE","REFERENCE_SP","H_INDEX","GENETIC_SP","GENOME_WIDE","LOCALITY"
"19364","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19365","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19366","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19367","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19368","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19369","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19370","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19371","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Słona-Woda"
"19372","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Słona-Woda"
"19373","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Słona-Woda"
"19374","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Słona-Woda"
"19375","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Słona-Woda"
"19376","vulgaris","II","montandoni_vulgarisOUT","vulgaris",0.629,"VULGARIS",1,"Kraków-Słona-Woda"
"19377","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Słona-Woda"
"19378","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Słona-Woda"
"19379","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Słona-Woda"
"19380","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Słona-Woda"
"19381","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Słona-Woda"
"19382","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Słona-Woda"
"19383","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Słona-Woda"
"19384","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Słona-Woda"
"19385","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Słona-Woda"
"19386","vulgaris","II","montandoni_vulgarisOUT","vulgaris",0.933,"VULGARIS",1,"Kraków-Słona-Woda"
"19387","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Słona-Woda"
"19388","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Słona-Woda"
"19389","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Słona-Woda"
"19390","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Słona-Woda"
"19391","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Królówka"
"19392","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Królówka"
"19393","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Królówka"
"19394","vulgaris","II","montandoni_vulgarisOUT","vulgaris",0.676,"VULGARIS",1,"Kraków-Królówka"
"19395","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Królówka"
"19396","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Królówka"
"19397","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Królówka"
"19422","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Królówka"
"19423","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Królówka"
"19424","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Królówka"
"19425","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Królówka"
"19426","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Królówka"
"19427","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Królówka"
"19428","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Królówka"
"19429","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Królówka"
"19430","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Wzgórze-Grodzisko"
"19431","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Wzgórze-Grodzisko"
"19432","vulgaris","II","montandoni_vulgarisOUT","vulgaris",0,"VULGARIS",1,"Kraków-Wzgórze-Grodzisko"
"19433","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Wzgórze-Grodzisko"
"19434","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Wzgórze-Grodzisko"
"19435","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Wzgórze-Grodzisko"
"19436","vulgaris","II","montandoni_vulgarisOUT","vulgaris",0.69,"VULGARIS",1,"Kraków-Wzgórze-Grodzisko"
"19437","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Wzgórze-Grodzisko"
"19438","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Wzgórze-Grodzisko"
"19439","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Wzgórze-Grodzisko"
"19469","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-TPK2"
"19470","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-TPK2"
"19471","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-TPK2"
"19472","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-TPK2"
"19473","vulgaris","II","montandoni_vulgarisOUT","vulgaris",0.996,"VULGARIS",1,"Gdańsk-TPK2"
"19474","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-TPK2"
"19475","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-TPK2"
"19476","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-TPK2"
"19477","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-TPK2"
"19478","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-TPK2"
"19479","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-TPK2"
"19480","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-TPK2"
