"HYBRID_ZONE","LOCALITY","DISTANCE","H_INDEX_I","nSamples_H_I","H_INDEX_II","nSamples_H_II","Q_INDEX_I","nSamples_Q_I","Q_INDEX_II","nSamples_Q_II","genomic","nSamples_genomic"
"helvetica_natrixHN2","Baden-Württemberg-Hartheim",1078.5,12.3,1,7.7,1,96.9,1,0.5,1,11.2582781456954,1
"helvetica_natrixHN2","Baden-Württemberg-Hoellentalbahn-km-166",1180.5,92.8,1,27.5,1,95.2,1,56,1,1.68902136115251,1
"helvetica_natrixHN2","Baden-Württemberg-Kandern",1066.3,0,1,26.8,1,81.7,1,7.1,1,0,1
"helvetica_natrixHN2","Baden-Württemberg-Kappel-Grafenhausen",1117.5,0,1,97.1,1,4.8,1,94.3,1,0.698602794411177,1
"helvetica_natrixHN2","Baden-Württemberg-Karlsruhe",1237.7,91.6,1,37.8,1,93.6,1,10.3,1,30.6491107356624,3
"helvetica_natrixHN2","Baden-Württemberg-Karlsruhe-Oberwaldsee",1238.8,36.1,1,44.3,1,3.8,1,38.9,1,0.907715582450832,1
"helvetica_natrixHN2","Baden-Württemberg-Kniebis",1187.6,0,1,22.6,1,3,1,13,1,0,1
"helvetica_natrixHN2","Baden-Württemberg-Mettnau",1200.4,100,1,99.1,1,83.6,1,99.1,1,83.1,1
"helvetica_natrixHN2","Baden-Württemberg-Neustadt",1135.5,0,1,77.5,1,1.5,1,98.6,1,1.19820269595606,1
"helvetica_natrixHN2","Baden-Württemberg-Ottenhöfen",1178.8,60,1,31.7,1,71.8,1,4.3,1,0.600600600600601,1
"helvetica_natrixHN2","Baden-Württemberg-Präg",1101.5,0,2,44.45,2,41.2,2,24.75,2,3.94771046971258,6
"helvetica_natrixHN2","Baden-Württemberg-Renchflutkanal",1163.7,0,1,31.8,1,89.8,1,11.6,1,1.89243027888446,1
"helvetica_natrixHN2","Baden-Württemberg-Rheinstetten-NGS-Allmendäcker",1226.1,12.3,1,12.5,1,96.1,1,1.9,1,1.19820269595606,1
"helvetica_natrixHN2","Baden-Württemberg-Riedlingen",1279.5,53.7,1,100,1,16.3,1,98.5,1,98.6,5
"helvetica_natrixHN2","Baden-Württemberg-Schiltach",1178.2,100,1,63.4,1,91.5,1,49.1,1,82,1
"helvetica_natrixHN2","Baden-Württemberg-Winden-Erzenbachtalstrasse",1137.3,14.7,1,6.2,1,1.6,1,0.9,1,3.15893385982231,1
"helvetica_natrixHN2","Baden-Württemberg-Zell-Weierbach",1154,43.8,1,7.6,1,38.7,1,1,1,0.599400599400599,1
"helvetica_natrixHN2","Baden-Württemberg-Zwiefalten",1286.1,100,1,100,1,96.2,1,99.5,1,97.1,1
"helvetica_natrixHN2","Baden-Württemberg-between-Wallberg-and-Münchweier",1169,0,1,16,1,96.2,1,1.2,1,15.0139017608897,1
"astreptophora_helveticaAH","Barcelona-Montseny",1138.8,31.7,1,17.7,1,1.3,1,0.3,1,0.900000000000001,1
"helvetica_natrixHN2","Bas-Rhin-Strasbourg",1145,0,1,30.3,1,85.1,1,15.6,1,0.997008973080758,1
"helvetica_natrixHN2","Bavaria-Haunstetten",1433.8,51.6,1,57.6,1,9,1,55,1,99.35,2
"helvetica_natrixHN2","Bavaria-Klautzenbach",1719.6,100,1,100,1,94.3,1,99.7,1,100,1
"helvetica_natrixHN2","Bavaria-Schwandorf",1640.1,60,1,100,1,7.5,1,98.8,1,99,1
"helvetica_natrixHN2","Bavaria-Wackersdorf",1636.5,100,1,45.3,1,97.1,1,54.3,1,100,1
"astreptophora_helveticaAH","Bern-near-Bern",2134.5,100,1,100,1,98.3,1,99.4,1,99.6003996003996,1
"astreptophora_helveticaAH","Bern-near-Meiringen-Gadmental",2150.7,100,2,95.9,2,97.35,2,88.35,2,99.6506238646023,2
"helvetica_natrixHN3","Bilje-Vipava-river",1582.5,39.9,1,43.2,1,98.3,1,96.9,1,99.3,1
"helvetica_natrixHN3","Borjana",1598,0,1,67.2,1,91.9,1,97.7,1,99.6,1
"helvetica_natrixHN3","Borovnica",1654.5,50,2,78.4,2,91.7,2,98.9,2,99.55,2
"helvetica_natrixHN3","Bratislava-Petržalka",2102.2,100,2,100,2,97.25,2,99.25,2,100,4
"helvetica_natrixHN3","Celje-Voglajna-river",1767.2,100,1,100,1,97.5,1,99.3,1,100,1
"helvetica_natrixHN3","Cerknica-Lake",1641.7,38.25,2,91.2,2,93.65,2,99.2,2,99.025,4
"helvetica_natrixHN3","Deux-Sevres-near-Niort",0,0,1,0,1,1.4,1,0.4,1,0.999500249875063,1
"helvetica_natrixHN3","Dragonje",1550.2,100,1,61.2,1,90.5,1,97.9,1,99.7,1
"helvetica_natrixHN3","Emilia-Romagna-Piacenza-Caorso",1154.7,15.2,1,10.3,1,95.2,1,87,1,0.4,1
"helvetica_natrixHN2","Gironde-Le-Haillan",32.5,0,1,0,1,83.1,1,2.4,1,0,1
