"HYBRID_ZONE","MARKER","PARAMETERS","VALUES","LEVEL"
"montandoni_vulgarisR2","genomic","pMax",0.981114419485876,"low"
"montandoni_vulgarisR","HI","center",27.1029035359312,"main"
"montandoni_vulgarisR","HI","width",3.5682022439486,"main"
"montandoni_vulgarisR","HI","pMin",0.783502972756119,"main"
"montandoni_vulgarisR","HI","pMax",0.972995340898965,"main"
"montandoni_vulgarisR","HI","center",-35.4506164524607,"high"
"montandoni_vulgarisR","HI","center",34.2467418462935,"low"
"montandoni_vulgarisR","HI","width",0.376480143686813,"high"
"montandoni_vulgarisR","HI","width",123.011785774901,"low"
"montandoni_vulgarisR","HI","pMin",0.000979955823840251,"high"
"montandoni_vulgarisR","HI","pMin",0.830958961681197,"low"
"montandoni_vulgarisR","HI","pMax",0.950597839405818,"high"
"montandoni_vulgarisR","HI","pMax",0.997022981277966,"low"
"montandoni_vulgarisR","HII","center",31.3022735933427,"main"
"montandoni_vulgarisR","HII","width",26.0782191694438,"main"
"montandoni_vulgarisR","HII","pMin",0.507933635767353,"main"
"montandoni_vulgarisR","HII","pMax",0.969961553905739,"main"
"montandoni_vulgarisR","HII","center",17.7618791552818,"high"
"montandoni_vulgarisR","HII","center",38.5014019593848,"low"
"montandoni_vulgarisR","HII","width",11.069461471705,"high"
"montandoni_vulgarisR","HII","width",61.0280432497735,"low"
"montandoni_vulgarisR","HII","pMin",0.22841878990511,"high"
"montandoni_vulgarisR","HII","pMin",0.619472222674241,"low"
"montandoni_vulgarisR","HII","pMax",0.915857212165813,"high"
"montandoni_vulgarisR","HII","pMax",0.994007778878295,"low"
"montandoni_vulgarisR","QI","center",30.2412023556131,"main"
"montandoni_vulgarisR","QI","width",6.08851158132326,"main"
"montandoni_vulgarisR","QI","pMin",0.0289706515330041,"main"
"montandoni_vulgarisR","QI","pMax",0.846858434166791,"main"
"montandoni_vulgarisR","QI","center",28.6823813571523,"high"
"montandoni_vulgarisR","QI","center",31.5286835924419,"low"
"montandoni_vulgarisR","QI","width",3.41954993750364,"high"
"montandoni_vulgarisR","QI","width",10.7051770164054,"low"
"montandoni_vulgarisR","QI","pMin",0.00790113175101084,"high"
"montandoni_vulgarisR","QI","pMin",0.0697354582791833,"low"
"montandoni_vulgarisR","QI","pMax",0.785900438100251,"high"
"montandoni_vulgarisR","QI","pMax",0.897248141768147,"low"
"montandoni_vulgarisR","Q2","center",29.0969563895192,"main"
"montandoni_vulgarisR","Q2","width",9.43462081351688,"main"
"montandoni_vulgarisR","Q2","pMin",0.165253217525038,"main"
"montandoni_vulgarisR","Q2","pMax",0.847459046941988,"main"
"montandoni_vulgarisR","Q2","center",26.3177944605888,"high"
"montandoni_vulgarisR","Q2","center",31.5133930773726,"low"
"montandoni_vulgarisR","Q2","width",1.76245654435635,"high"
"montandoni_vulgarisR","Q2","width",19.1328624144016,"low"
"montandoni_vulgarisR","Q2","pMin",0.0944278848591854,"high"
"montandoni_vulgarisR","Q2","pMin",0.246741914968978,"low"
"montandoni_vulgarisR","Q2","pMax",0.776448104394055,"high"
"montandoni_vulgarisR","Q2","pMax",0.903498302456162,"low"
"montandoni_vulgarisR","genomic","center",29.3015939824842,"main"
"montandoni_vulgarisR","genomic","width",6.90561120670346,"main"
"montandoni_vulgarisR","genomic","pMin",0.0606290032221642,"main"
"montandoni_vulgarisR","genomic","pMax",0.985964472314269,"main"
"montandoni_vulgarisR","genomic","center",27.8444988332479,"high"
"montandoni_vulgarisR","genomic","center",30.5791303698633,"low"
"montandoni_vulgarisR","genomic","width",3.6431711658687,"high"
"montandoni_vulgarisR","genomic","width",12.2238802019274,"low"
"montandoni_vulgarisR","genomic","pMin",0.0161904164056281,"high"
"montandoni_vulgarisR","genomic","pMin",0.140633187322312,"low"
"montandoni_vulgarisR","genomic","pMax",0.960941318387469,"high"
"montandoni_vulgarisR","genomic","pMax",0.998160653970096,"low"
"montandoni_vulgarisL","HI","center",45.7012372769824,"main"
"montandoni_vulgarisL","HI","width",2.5362783661491,"main"
