HYBRID_ZONE,LOCALITY,DISTANCE,H_INDEX_I,nSamples_H_I,H_INDEX_II,nSamples_H_II,Q_INDEX_I,nSamples_Q_I,Q_INDEX_II,nSamples_Q_II,genomic,nSamples_genomic
montandoni_vulgarisS,Comăneşti,132.5,100,4,100,4,99.425,4,98.775,4,99.95625,4
montandoni_vulgarisS,Costâna,145.8,95.9375,8,100,8,95.8625,8,98.6,8,99.999,8
montandoni_vulgarisR,Câmpu-Cetăţii1,33.3,97.4571428571429,7,100,7,87.9428571428572,7,82.0428571428571,7,94.012,7
montandoni_vulgarisR,Câmpu-Cetăţii2,30.3,100,15,85.6533333333333,15,75.4733333333333,15,82.2733333333333,15,91.3430266666667,15
montandoni_vulgarisR2,Ditrău,38.9,75.0807692307692,26,49.4115384615385,26,1.25,26,17.6269230769231,26,5.30391538461538,13
montandoni_vulgarisR2,Dămuc,0,68.9433333333333,30,63.3333333333333,30,3.39,30,18.8933333333333,30,2.25211333333333,15
montandoni_vulgarisR,Eremitu2,44.1,100,18,86.4777777777778,18,53.4388888888889,18,83.7166666666667,18,99.3708055555555,18
montandoni_vulgarisT,Filipeşti,79.6,89.3428571428571,7,100,7,99.2571428571429,7,99.1428571428571,7,99.4169428571429,7
montandoni_vulgarisS,Frasin,97.3,64.5638888888889,36,45.2805555555556,36,7.51666666666667,36,19.8472222222222,36,0.107416666666663,18
montandoni_vulgarisR2,Ghiduţ1,43.5,90.5466666666667,15,100,15,2.01333333333333,15,23.2933333333333,15,96.5063933333333,15
montandoni_vulgarisR2,Ghiduţ2,43.2,85.8785714285714,14,100,14,3.22857142857143,14,24.85,14,96.3422714285714,14
montandoni_vulgarisR,Glăjărie,45,96.5066666666667,15,100,15,77.76,15,84.7333333333333,15,94.1244533333333,15
montandoni_vulgarisS,Gura-Humorului1,108.6,64.07,30,49.97,30,5.42666666666667,30,10.1066666666667,30,0.12993333333333,15
montandoni_vulgarisS,Gura-Humorului2,106.7,67.5933333333333,30,45.6,30,4.09666666666667,30,12.6833333333333,30,0.11307333333333,15
montandoni_vulgarisR2,Hagota1,31.1,83.6766666666667,30,44.2666666666667,30,3.44666666666667,30,26.49,30,2.8292,15
montandoni_vulgarisS,Hănţeşti,171.3,100,11,100,11,98.6636363636364,11,98.0272727272727,11,99.999,11
montandoni_vulgarisR,Ibăneşti1,31.9,92.3545454545455,11,54.5454545454545,11,31.7727272727273,11,51.0636363636364,11,57.169275,8
montandoni_vulgarisS,Ilişeşti1,127.9,76.8941176470588,17,60.5,17,18.9705882352941,17,29.7647058823529,17,29.8668,10
montandoni_vulgarisS,Ilişeşti2,128,82.356,25,67.2782608695652,23,15.204,25,29.4739130434783,23,21.7149785714286,14
montandoni_vulgarisS,Ilişeşti3,128,97.4533333333333,15,97.4933333333333,15,97.9066666666667,15,95.2,15,99.58522,15
montandoni_vulgarisR2,Joseni1,54.5,91.8333333333333,15,95.7142857142857,14,2.38666666666667,15,37.9714285714286,14,96.0282333333333,15
montandoni_vulgarisL,Karpovtlash,54.7,80.07,10,31.44,10,97.71,10,95.05,10,98.19937,10
montandoni_vulgarisL,Khust,61.9,77.4933333333333,15,73.3333333333333,15,94.9066666666667,15,75.5533333333333,15,97.7879266666667,15
montandoni_vulgarisL,Krainje1,42.4,37.2266666666667,30,40.6033333333333,30,49.3266666666667,30,44.63,30,0.18461333333333,15
montandoni_vulgarisL,Krainje2,41.2,33.0333333333333,30,16.5533333333333,30,49.98,30,44.66,30,0.107333333333329,15
montandoni_vulgarisL,Krainje3,41,41.424,25,51.924,25,59.616,25,51.536,25,31.9827133333333,15
montandoni_vulgarisL,Krainykovo,68.1,80.3055555555556,18,78.4444444444445,18,97.9111111111111,18,86.7055555555556,18,97.6435833333333,18
montandoni_vulgarisR2,Lacu-Roşu,17.5,68.09,30,70.51,30,0.893333333333333,30,25.7,30,3.02886251025041,16
montandoni_vulgarisL,Lozyanskyi,0,41.0027777777778,36,20.4388888888889,36,46.6333333333333,36,43.9944444444444,36,0.0100277777777738,18
montandoni_vulgarisL,Lypcha,42.6,47.6269230769231,26,48.9615384615385,26,55.7692307692308,26,47.5423076923077,26,31.1210374974999,16
montandoni_vulgarisL,Lypcha2,42.3,35.5241379310345,29,31.6103448275862,29,53.2,29,47.5586206896552,29,6.25183333333333,15
montandoni_vulgarisL,Lypcha3,43,31.8925925925926,27,31.0185185185185,27,55.4444444444444,27,51.3703703703704,27,17.28076,15
montandoni_vulgarisL,Lypcha4,41.3,37.2433333333333,30,27.6933333333333,30,50.23,30,43.7866666666667,30,1.42259333333333,15
montandoni_vulgarisL,Lypcha5,39.9,34.04,20,25.205,20,50.515,20,45.77,20,0.231549999999996,10
montandoni_vulgarisL,Lypcha6,39.8,43.92,25,42.652,25,60.176,25,50.16,25,28.11086,15
montandoni_vulgarisL,Lypcha7,40,33.5033333333333,30,16.8266666666667,30,50.8833333333333,30,46.24,30,0.656279999999998,15
montandoni_vulgarisL,Lypetska-Polyana,31,53.9266666666667,30,37.49,30,50.6233333333333,30,38.52,30,0.0617466666666629,15
montandoni_vulgarisL,Lypovets,39.8,68.51,10,95.93,10,98.85,10,95.53,10,94.95619,10
montandoni_vulgarisR,Lăpuşna1,13.9,85.6090909090909,22,38.4909090909091,22,3.94545454545455,22,16.8272727272727,22,7.36795454545455,11
montandoni_vulgarisR,Lăpuşna2,11.3,76.29375,16,62.5,16,2.4875,16,13.03125,16,6.486975,8
montandoni_vulgarisR,Lăpuşna3,8.20000000000002,75.2166666666667,30,51.8866666666667,30,3.89666666666667,30,18.7566666666667,30,6.68292,15
montandoni_vulgarisR2,Lăzarea1,38.1,93.1941176470588,17,94.1176470588235,17,7.8,17,9.38235294117647,17,78.6703533333333,15
montandoni_vulgarisR2,Lăzarea2,37.3,79.9,1,100,1,10,1,10.7,1,92.9996,1
montandoni_vulgarisL,Medvezhyi1,31,41.7333333333333,30,30.1633333333333,30,50.16,30,50.24,30,0.122926666666663,15
montandoni_vulgarisL,Medvezhyi2,26.3,44.9366666666667,30,30.8933333333333,30,49.5166666666667,30,47.23,30,0.0660533333333298,15
montandoni_vulgarisL,Medvezhyi3,29.8,40.38,30,26.4233333333333,30,49.2966666666667,30,43.9766666666667,30,0.051339999999996,15
montandoni_vulgarisL,Medvezhyi4,32.5,41.68,30,52.43,30,49.69,30,48.82,30,0.18603333333333,15
montandoni_vulgarisL,Medvezhyi5,33.7,38.3133333333333,30,26.5466666666667,30,49.9433333333333,30,45.0066666666667,30,0.145306666666663,15
montandoni_vulgarisS,Mestecăniş,44.1,68.3966666666667,30,46.8833333333333,30,7.27,30,29.51,30,0.0545999999999965,15
montandoni_vulgarisL,Mănăşturel,220,97.59,20,100,2,94.765,20,72.2,5,99.9989999599984,23
