"INDIVIDUAL_ID","LOCALITY","COUNTRY","LATITUDE","N_S","LONGITUDE","E_W"
"17218","Rýmařov-Stránské","Czech Republic",49.903,"N",17.302,"E"
"17219","Křišťanovice-1","Czech Republic",49.845,"N",17.514,"E"
"17220","Norberčany","Czech Republic",49.756,"N",17.506,"E"
"17221","Břidličná","Czech Republic",49.92,"N",17.361,"E"
"17222","Břidličná","Czech Republic",49.92,"N",17.361,"E"
"17223","Dolní-Moravice-2","Czech Republic",49.996,"N",17.317,"E"
"17224","Rýmařov-Stránské","Czech Republic",49.903,"N",17.302,"E"
"17225","Křišťanovice-1","Czech Republic",49.845,"N",17.514,"E"
"17226","Valšov","Czech Republic",49.92,"N",17.418,"E"
"17227","Valšov","Czech Republic",49.92,"N",17.418,"E"
"17228","Dolní-Moravice","Czech Republic",49.986,"N",17.317,"E"
"17229","Dolní-Moravice","Czech Republic",49.986,"N",17.317,"E"
"17230","Dolní-Moravice","Czech Republic",49.986,"N",17.317,"E"
"17231","Herálec","Czech Republic",49.663,"N",16.012,"E"
"17232","Odry-Dobešov-2","Czech Republic",49.681,"N",17.768,"E"
"17233","Bílá-Voda","Czech Republic",50.42,"N",16.878,"E"
"17234","Międzylesie","Poland",50.189,"N",16.809,"E"
"17235","Břidličná","Czech Republic",49.92,"N",17.361,"E"
"17236","Křišťanovice-1","Czech Republic",49.845,"N",17.514,"E"
"17237","Dvorce","Czech Republic",49.823,"N",17.508,"E"
"17238","Křišťanovice-3","Czech Republic",49.868,"N",17.508,"E"
"17239","Roudno-1","Czech Republic",49.89,"N",17.508,"E"
"17240","Valšov","Czech Republic",49.92,"N",17.418,"E"
"17241","Křinice","Czech Republic",50.559,"N",16.294,"E"
"17242","Branná","Czech Republic",50.15,"N",17,"E"
"17243","Velké-Dářko","Czech Republic",49.633,"N",15.919,"E"
"17244","Dobroslavice","Czech Republic",49.886,"N",18.166,"E"
"17245","Heřmanovice-3","Czech Republic",50.186,"N",17.351,"E"
"17246","Rýmařov-Stránské","Czech Republic",49.903,"N",17.302,"E"
"17247","Holčovice-Komora","Czech Republic",50.173,"N",17.455,"E"
"17248","Fulnek-2","Czech Republic",49.706,"N",17.917,"E"
"17249","Domašov-nad-Bystřicí","Czech Republic",49.743,"N",17.443,"E"
"17250","Rejchartice","Czech Republic",49.802,"N",17.524,"E"
"17251","Dětřichov-nad-Bystřicí","Czech Republic",49.835,"N",17.401,"E"
"17252","Břidličná","Czech Republic",49.92,"N",17.361,"E"
"17253","Křišťanovice-1","Czech Republic",49.845,"N",17.514,"E"
"17254","Dvorce","Czech Republic",49.823,"N",17.508,"E"
"17255","Dvorce","Czech Republic",49.823,"N",17.508,"E"
"17256","Norberčany","Czech Republic",49.756,"N",17.506,"E"
"17257","Norberčany","Czech Republic",49.756,"N",17.506,"E"
"17258","Norberčany","Czech Republic",49.756,"N",17.506,"E"
"17259","Dětřichov-nad-Bystřicí","Czech Republic",49.835,"N",17.401,"E"
"17260","Břidličná","Czech Republic",49.92,"N",17.361,"E"
"17261","Staré-Město-Nová-Véska","Czech Republic",50.02,"N",17.4,"E"
"17262","Staré-Město-Nová-Véska","Czech Republic",50.02,"N",17.4,"E"
"17263","Železná","Czech Republic",50.128,"N",17.356,"E"
"17264","Heřmanovice-2","Czech Republic",50.177,"N",17.379,"E"
"17265","Mnichov","Czech Republic",50.127,"N",17.384,"E"
"17266","Domašov-nad-Bystřicí","Czech Republic",49.743,"N",17.443,"E"
"17267","Dětřichov-nad-Bystřicí","Czech Republic",49.835,"N",17.401,"E"
"17268","Břidličná","Czech Republic",49.92,"N",17.361,"E"
"17269","Mnichov","Czech Republic",50.127,"N",17.384,"E"
"17270","Mnichov","Czech Republic",50.127,"N",17.384,"E"
"17271","Mnichov","Czech Republic",50.127,"N",17.384,"E"
"17272","Mnichov","Czech Republic",50.127,"N",17.384,"E"
"17273","Mnichov","Czech Republic",50.127,"N",17.384,"E"
