INDIVIDUAL_ID,LOCALITY,COUNTRY,LATITUDE,N_S,LONGITUDE,E_W
21452,Sphyrapicus211,Canada,53.1204,N,-122.30834,W
21453,Sphyrapicus212,Canada,53.04492,N,-122.60353,W
21456,Sphyrapicus215,Canada,53.8382,N,-123.19329,W
21457,Sphyrapicus216,Canada,53.0891,N,-122.61337,W
21458,Sphyrapicus217,Canada,54.0212,N,-122.29261,W
21460,Sphyrapicus219,Canada,54.59933,N,-123.06681,W
21461,Sphyrapicus219,Canada,54.59933,N,-123.06681,W
21463,Sphyrapicus221,Canada,54.18166,N,-122.6354,W
21466,Sphyrapicus223,Canada,54.19983,N,-122.69402,W
21467,Sphyrapicus224,Canada,53.54892,N,-122.65599,W
21469,Sphyrapicus225,Canada,53.75512,N,-123.17764,W
21470,Sphyrapicus225,Canada,53.75512,N,-123.17764,W
21471,Sphyrapicus226,Canada,54.08219,N,-122.36623,W
21472,Sphyrapicus226,Canada,54.08219,N,-122.36623,W
21476,Sphyrapicus227,Canada,53.74916,N,-123.19077,W
21477,Sphyrapicus227,Canada,53.74916,N,-123.19077,W
21481,Sphyrapicus230,Canada,52.89217,N,-122.57072,W
21488,Sphyrapicus235,Canada,52.92682,N,-122.61822,W
21489,Sphyrapicus236,Canada,53.83459,N,-123.59569,W
21490,Sphyrapicus236,Canada,53.83459,N,-123.59569,W
21491,Sphyrapicus215,Canada,53.8382,N,-123.19329,W
21492,Sphyrapicus237,Canada,53.2283,N,-122.42017,W
21493,Sphyrapicus237,Canada,53.2283,N,-122.42017,W
21494,Sphyrapicus238,Canada,53.30061,N,-122.43309,W
21495,Sphyrapicus239,Canada,53.44816,N,-122.65895,W
21496,Sphyrapicus240,Canada,53.47219,N,-122.58188,W
21497,Sphyrapicus241,Canada,53.28118,N,-122.56948,W
21498,Sphyrapicus241,Canada,53.28118,N,-122.56948,W
21499,Sphyrapicus242,Canada,53.16748,N,-122.48948,W
21500,Sphyrapicus242,Canada,53.16748,N,-122.48948,W
21501,Sphyrapicus243,Canada,53.86486,N,-121.52512,W
21502,Sphyrapicus244,Canada,53.40144,N,-120.28915,W
21504,Sphyrapicus246,Canada,53.83367,N,-121.33573,W
21505,Sphyrapicus247,Canada,53.83618,N,-121.7826,W
