SP1,SP2,DISTANCE
glareolus,vaucheri,633.2801
glareolus,carbonelli,633.2801
glareolus,liolepis,633.2801
glareolus,astreptophora,633.2797
glareolus,helvetica,633.2797
glareolus,natrix,633.2797
glareolus,colchica,633.2798
glareolus,fragilis,633.2798
glareolus,orbicularis,633.2798
glareolus,trinacris,633.2798
glareolus,varius,633.2801
glareolus,ruber,633.2801
glareolus,nuchalis,633.2801
glareolus,salar,898.1455
glareolus,trutta,898.1455
glareolus,senegalensis,898.1455
glareolus,aegyptiaca,898.1455
rutilus,bombina,692.2997
rutilus,variegata,692.2997
rutilus,marmoratus,692.2995
rutilus,pygmaeus,692.2995
rutilus,ivanbureschi,692.2995
rutilus,anatolicus,692.2995
rutilus,macedonicus,692.2995
rutilus,cristatus,692.2995
rutilus,montandoni,692.299501
rutilus,vulgaris,692.299501
rutilus,glareolus,7.2
rutilus,rutilus,0
rutilus,bocagei,633.2801
rutilus,guadarramae,633.2801
rutilus,virescens,633.2801
rutilus,hispanicus,633.2801
rutilus,vaucheri,633.2801
rutilus,carbonelli,633.2801
rutilus,liolepis,633.2801
rutilus,astreptophora,633.2797
rutilus,helvetica,633.2797
rutilus,natrix,633.2797
rutilus,colchica,633.2798
rutilus,fragilis,633.2798
rutilus,orbicularis,633.2798
rutilus,trinacris,633.2798
rutilus,varius,633.2801
rutilus,ruber,633.2801
rutilus,nuchalis,633.2801
rutilus,salar,898.1455
rutilus,trutta,898.1455
rutilus,senegalensis,898.1455
rutilus,aegyptiaca,898.1455
bocagei,bombina,692.2998
bocagei,variegata,692.2998
bocagei,marmoratus,692.2996
bocagei,pygmaeus,692.2996
bocagei,ivanbureschi,692.2996
bocagei,anatolicus,692.2996
bocagei,macedonicus,692.2996
bocagei,cristatus,692.2996
bocagei,montandoni,692.299601
bocagei,vulgaris,692.299601
bocagei,glareolus,633.2801
bocagei,rutilus,633.2801
bocagei,bocagei,0
bocagei,guadarramae,7
bocagei,virescens,8
bocagei,hispanicus,9.4
bocagei,vaucheri,9.4
bocagei,carbonelli,10.6
bocagei,liolepis,13.6
bocagei,astreptophora,371.6648
bocagei,helvetica,371.6648
bocagei,natrix,371.6648
bocagei,colchica,371.6649
bocagei,fragilis,371.6649
bocagei,orbicularis,588.8563
bocagei,trinacris,588.8563
bocagei,varius,588.8566
bocagei,ruber,588.8566
bocagei,nuchalis,588.8566
bocagei,salar,898.1456
bocagei,trutta,898.1456
bocagei,senegalensis,898.1456
bocagei,aegyptiaca,898.1456
guadarramae,bombina,692.2998
guadarramae,variegata,692.2998
guadarramae,marmoratus,692.2996
guadarramae,pygmaeus,692.2996
guadarramae,ivanbureschi,692.2996
guadarramae,anatolicus,692.2996
guadarramae,macedonicus,692.2996
guadarramae,cristatus,692.2996
guadarramae,montandoni,692.299601
guadarramae,vulgaris,692.299601
guadarramae,glareolus,633.2801
guadarramae,rutilus,633.2801
guadarramae,bocagei,7
guadarramae,guadarramae,0
guadarramae,virescens,8
guadarramae,hispanicus,9.4
guadarramae,vaucheri,9.4
guadarramae,carbonelli,10.6
guadarramae,liolepis,13.6
guadarramae,astreptophora,371.6648
guadarramae,helvetica,371.6648
guadarramae,natrix,371.6648
guadarramae,colchica,371.6649
guadarramae,fragilis,371.6649
guadarramae,orbicularis,588.8563
guadarramae,trinacris,588.8563
guadarramae,varius,588.8566
guadarramae,ruber,588.8566
guadarramae,nuchalis,588.8566
guadarramae,salar,898.1456
guadarramae,trutta,898.1456
guadarramae,senegalensis,898.1456
guadarramae,aegyptiaca,898.1456
virescens,bombina,692.2998
virescens,variegata,692.2998
virescens,marmoratus,692.2996
virescens,pygmaeus,692.2996
virescens,ivanbureschi,692.2996
virescens,anatolicus,692.2996
virescens,macedonicus,692.2996
virescens,cristatus,692.2996
virescens,montandoni,692.299601
virescens,vulgaris,692.299601
virescens,glareolus,633.2801
virescens,rutilus,633.2801
virescens,bocagei,8
virescens,guadarramae,8
virescens,virescens,0
virescens,hispanicus,9.4
virescens,vaucheri,9.4
virescens,carbonelli,10.6
virescens,liolepis,13.6
virescens,astreptophora,371.6648
virescens,helvetica,371.6648
virescens,natrix,371.6648
virescens,colchica,371.6649
virescens,fragilis,371.6649
virescens,orbicularis,588.8563
virescens,trinacris,588.8563
virescens,varius,588.8566
virescens,ruber,588.8566
virescens,nuchalis,588.8566
virescens,salar,898.1456
virescens,trutta,898.1456
virescens,senegalensis,898.1456
virescens,aegyptiaca,898.1456
hispanicus,bombina,692.2998
hispanicus,variegata,692.2998
hispanicus,marmoratus,692.2996
hispanicus,pygmaeus,692.2996
hispanicus,ivanbureschi,692.2996
hispanicus,anatolicus,692.2996
hispanicus,macedonicus,692.2996
hispanicus,cristatus,692.2996
hispanicus,montandoni,692.299601
hispanicus,vulgaris,692.299601
hispanicus,glareolus,633.2801
hispanicus,rutilus,633.2801
hispanicus,bocagei,9.4
hispanicus,guadarramae,9.4
hispanicus,virescens,9.4
hispanicus,hispanicus,0
hispanicus,vaucheri,8.4
hispanicus,carbonelli,10.6
hispanicus,liolepis,13.6
hispanicus,astreptophora,371.6648
hispanicus,helvetica,371.6648
hispanicus,natrix,371.6648
hispanicus,colchica,371.6649
hispanicus,fragilis,371.6649
hispanicus,orbicularis,588.8563
hispanicus,trinacris,588.8563
hispanicus,varius,588.8566
hispanicus,ruber,588.8566
hispanicus,nuchalis,588.8566
hispanicus,salar,898.1456
hispanicus,trutta,898.1456
hispanicus,senegalensis,898.1456
hispanicus,aegyptiaca,898.1456
vaucheri,bombina,692.2998
vaucheri,variegata,692.2998
vaucheri,marmoratus,692.2996
vaucheri,pygmaeus,692.2996
vaucheri,ivanbureschi,692.2996
vaucheri,anatolicus,692.2996
vaucheri,macedonicus,692.2996
vaucheri,cristatus,692.2996
vaucheri,montandoni,692.299601
vaucheri,vulgaris,692.299601
vaucheri,glareolus,633.2801
vaucheri,rutilus,633.2801
vaucheri,bocagei,9.4
vaucheri,guadarramae,9.4
vaucheri,virescens,9.4
vaucheri,hispanicus,8.4
vaucheri,vaucheri,0
vaucheri,carbonelli,10.6
vaucheri,liolepis,13.6
vaucheri,astreptophora,371.6648
vaucheri,helvetica,371.6648
vaucheri,natrix,371.6648
vaucheri,colchica,371.6649
vaucheri,fragilis,371.6649
vaucheri,orbicularis,588.8563
vaucheri,trinacris,588.8563
vaucheri,varius,588.8566
vaucheri,ruber,588.8566
vaucheri,nuchalis,588.8566
vaucheri,salar,898.1456
vaucheri,trutta,898.1456
vaucheri,senegalensis,898.1456
vaucheri,aegyptiaca,898.1456
carbonelli,bombina,692.2998
carbonelli,variegata,692.2998
carbonelli,marmoratus,692.2996
carbonelli,pygmaeus,692.2996
carbonelli,ivanbureschi,692.2996
carbonelli,anatolicus,692.2996
carbonelli,macedonicus,692.2996
carbonelli,cristatus,692.2996
carbonelli,montandoni,692.299601
carbonelli,vulgaris,692.299601
carbonelli,glareolus,633.2801
carbonelli,rutilus,633.2801
carbonelli,bocagei,10.6
carbonelli,guadarramae,10.6
carbonelli,virescens,10.6
carbonelli,hispanicus,10.6
carbonelli,vaucheri,10.6
carbonelli,carbonelli,0
carbonelli,liolepis,13.6
carbonelli,astreptophora,371.6648
carbonelli,helvetica,371.6648
carbonelli,natrix,371.6648
carbonelli,colchica,371.6649
carbonelli,fragilis,371.6649
carbonelli,orbicularis,588.8563
carbonelli,trinacris,588.8563
carbonelli,varius,588.8566
carbonelli,ruber,588.8566
carbonelli,nuchalis,588.8566
carbonelli,salar,898.1456
carbonelli,trutta,898.1456
carbonelli,senegalensis,898.1456
carbonelli,aegyptiaca,898.1456
liolepis,bombina,692.2998
liolepis,variegata,692.2998
liolepis,marmoratus,692.2996
liolepis,pygmaeus,692.2996
liolepis,ivanbureschi,692.2996
liolepis,anatolicus,692.2996
liolepis,macedonicus,692.2996
liolepis,cristatus,692.2996
liolepis,montandoni,692.299601
liolepis,vulgaris,692.299601
liolepis,glareolus,633.2801
liolepis,rutilus,633.2801
liolepis,bocagei,13.6
liolepis,guadarramae,13.6
liolepis,virescens,13.6
liolepis,hispanicus,13.6
liolepis,vaucheri,13.6
liolepis,carbonelli,13.6
liolepis,liolepis,0
liolepis,astreptophora,371.6648
liolepis,helvetica,371.6648
liolepis,natrix,371.6648
liolepis,colchica,371.6649
liolepis,fragilis,371.6649
liolepis,orbicularis,588.8563
liolepis,trinacris,588.8563
liolepis,varius,588.8566
liolepis,ruber,588.8566
liolepis,nuchalis,588.8566
liolepis,salar,898.1456
liolepis,trutta,898.1456
liolepis,senegalensis,898.1456
liolepis,aegyptiaca,898.1456
astreptophora,bombina,692.2994
astreptophora,variegata,692.2994
astreptophora,marmoratus,692.2992
astreptophora,pygmaeus,692.2992
astreptophora,ivanbureschi,692.2992
astreptophora,anatolicus,692.2992
astreptophora,macedonicus,692.2992
astreptophora,cristatus,692.2992
astreptophora,montandoni,692.299201
astreptophora,vulgaris,692.299201
