"INDIVIDUAL_ID","SPECIES","CLASS","HYBRID_ZONE","REFERENCE_SP","H_INDEX","GENETIC_SP","GENOME_WIDE","LOCALITY"
"16736","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.965764,"Annaba"
"16737","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.405,"SENEGALENSIS",0.999902,"Annaba"
"16661","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.822,"SENEGALENSIS",0.992541,"Bizerte"
"16662","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.417,"SENEGALENSIS",0.982366,"Bizerte"
"16663","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.996593,"Bizerte"
"16664","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.235,"SENEGALENSIS",0.995832,"Bizerte"
"16665","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.088,"SENEGALENSIS",0.966598,"Bizerte"
"16666","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.972935,"Bizerte"
"16667","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.405,"SENEGALENSIS",0.982997,"Bizerte"
"16669","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.41,"SENEGALENSIS",0.991567,"Bizerte"
"16670","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.917374,"Bizerte"
"16692","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.92341,"Bizerte"
"16693","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.167,"SENEGALENSIS",0.774674,"Bizerte"
"16694","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.268,"SENEGALENSIS",0.970532,"Bizerte"
"16695","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.97221,"Bizerte"
"16696","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.950965,"Bizerte"
"16697","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.259,"SENEGALENSIS",0.936594,"Bizerte"
"16698","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.980713,"Bizerte"
"16699","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.827297178571429,"Bizerte"
"16700","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.235,"SENEGALENSIS",0.991489,"Bizerte"
"16701","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.451,"SENEGALENSIS",0.999946,"Bizerte"
"16702","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.981777,"Bizerte"
"16704","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.405,"SENEGALENSIS",0.941395,"Bizerte"
"16705","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.417,"SENEGALENSIS",0.999944,"Bizerte"
"16706","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.988675,"Bizerte"
"16707","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.235,"SENEGALENSIS",0.96943,"Bizerte"
"16708","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.265,"SENEGALENSIS",0.968708,"Bizerte"
"16563","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.1e-05,"Bardawil"
"16564","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.2e-05,"Bardawil"
"16565","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.2e-05,"Bardawil"
"16566","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.2e-05,"Bardawil"
"16567","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.1e-05,"Bardawil"
"16568","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.2e-05,"Bardawil"
"16569","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.2e-05,"Bardawil"
"16570","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.2e-05,"Bardawil"
"16571","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3e-05,"Bardawil"
"16572","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.3e-05,"Bardawil"
"16595","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",5.8e-05,"Tunis"
"16596","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",1,"SENEGALENSIS",5.2e-05,"Tunis"
"16597","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",1,"SENEGALENSIS",5.2e-05,"Tunis"
"16598","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",1,"SENEGALENSIS",5.2e-05,"Tunis"
"16599","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",4.6e-05,"Tunis"
"16600","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",1,"SENEGALENSIS",5.2e-05,"Tunis"
"16601","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.254482,"Tunis2"
"16602","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.1e-05,"Bardawil"
"16603","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.2e-05,"Bardawil"
"16604","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.2e-05,"Bardawil"
"16605","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.1e-05,"Bardawil"
"16606","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.1e-05,"Bardawil"
"16607","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.2e-05,"Bardawil"
"16608","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.1e-05,"Bardawil"
"16609","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.2e-05,"Bardawil"
"16627","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",8.3e-05,"Tunis2"
"16628","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",1,"SENEGALENSIS",0.012327,"Tunis2"
"16629","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.019853,"Tunis2"
"16630","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",4.3e-05,"Tunis2"
"16631","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.079399,"Tunis2"
"16632","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",4.5e-05,"Tunis2"
"16636","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.003829,"Tunis2"
"16637","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",6.1e-05,"Tunis2"
"16638","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.012418,"Tunis2"
"16639","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",6.8e-05,"Tunis2"
"16640","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.010571,"Tunis2"
"16641","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.015247,"Tunis2"
"16642","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.003422,"Tunis2"
"16643","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.018025,"Tunis2"
"16644","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.032689,"Tunis2"
"16645","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.101854,"Tunis2"
"16646","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.038633,"Tunis2"
"16647","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.231533,"Tunis2"
"16648","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",1,"SENEGALENSIS",4.4e-05,"Tunis2"
"16671","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.6e-05,"Bahiret-el-Bibane"
"16672","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Bahiret-el-Bibane"
"16673","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Bahiret-el-Bibane"
"16674","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.4e-05,"Bahiret-el-Bibane"
"16675","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Bahiret-el-Bibane"
"16676","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.7e-05,"Bahiret-el-Bibane"
"16677","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.6e-05,"Chergui"
"16678","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.4e-05,"Chergui"
"16679","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",1,"SENEGALENSIS",3.6e-05,"Chergui"
"16680","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.4e-05,"Chergui"
"16681","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Chergui"
"16682","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.4e-05,"Chergui"
"16683","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.4e-05,"Chergui"
"16684","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Chergui"
"16685","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.6e-05,"Chergui"
"16686","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.4e-05,"Chergui"
"16687","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.4e-05,"Chergui"
"16688","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.6e-05,"Chergui"
"16689","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Chergui"
"16690","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.48461538461538e-05,"Chergui"
"16709","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.6e-05,"Bahiret-el-Bibane"
"16710","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.8e-05,"Bahiret-el-Bibane"
"16712","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.57142857142857e-05,"Bahiret-el-Bibane"
"16713","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Bahiret-el-Bibane"
"16714","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.7e-05,"Bahiret-el-Bibane"
"16715","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.4e-05,"Bahiret-el-Bibane"
"16716","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Bahiret-el-Bibane"
"16717","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.8e-05,"Bahiret-el-Bibane"
"16718","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Bahiret-el-Bibane"
"16659","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.012002,"Bizerte"
"16660","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.002971,"Bizerte"
"16691","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",1,"SENEGALENSIS",3.9e-05,"Bizerte"
"16703","aegyptiaca","II","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",4.4e-05,"Bizerte"
