"INDIVIDUAL_ID","Q","CLASS","HYBRID_ZONE"
"16581","0.542","II","aegyptiaca_senegalensis"
"16583","0.533","II","aegyptiaca_senegalensis"
"16584","0.487","II","aegyptiaca_senegalensis"
"16585","0.555","II","aegyptiaca_senegalensis"
"16586","0.419","II","aegyptiaca_senegalensis"
"16587","0.977","II","aegyptiaca_senegalensis"
"16588","0.990","II","aegyptiaca_senegalensis"
"16589","0.974","II","aegyptiaca_senegalensis"
"16590","0.974","II","aegyptiaca_senegalensis"
"16611","0.952","II","aegyptiaca_senegalensis"
"16612","0.427","II","aegyptiaca_senegalensis"
"16613","0.487","II","aegyptiaca_senegalensis"
"16614","0.908","II","aegyptiaca_senegalensis"
"16617","0.983","II","aegyptiaca_senegalensis"
"16622","0.878","II","aegyptiaca_senegalensis"
"16626","0.928","II","aegyptiaca_senegalensis"
"16652","0.970","II","aegyptiaca_senegalensis"
"16653","0.979","II","aegyptiaca_senegalensis"
"16657","0.985","II","aegyptiaca_senegalensis"
"16721","0.406","II","aegyptiaca_senegalensis"
"16724","0.982","II","aegyptiaca_senegalensis"
"16725","0.982","II","aegyptiaca_senegalensis"
"16726","0.964","II","aegyptiaca_senegalensis"
"16727","0.951","II","aegyptiaca_senegalensis"
"16728","0.978","II","aegyptiaca_senegalensis"
"16729","0.974","II","aegyptiaca_senegalensis"
"16730","0.969","II","aegyptiaca_senegalensis"
"16731","0.913","II","aegyptiaca_senegalensis"
"16732","0.985","II","aegyptiaca_senegalensis"
"16733","0.980","II","aegyptiaca_senegalensis"
"16734","0.990","II","aegyptiaca_senegalensis"
"16735","0.977","II","aegyptiaca_senegalensis"
"16736","0.909","II","aegyptiaca_senegalensis"
"16737","0.916","II","aegyptiaca_senegalensis"
"16659","0.022","II","aegyptiaca_senegalensis"
"16660","0.066","II","aegyptiaca_senegalensis"
"16661","0.945","II","aegyptiaca_senegalensis"
"16662","0.641","II","aegyptiaca_senegalensis"
"16663","0.875","II","aegyptiaca_senegalensis"
"16664","0.987","II","aegyptiaca_senegalensis"
"16665","0.991","II","aegyptiaca_senegalensis"
"16666","0.560","II","aegyptiaca_senegalensis"
"16667","0.976","II","aegyptiaca_senegalensis"
"16669","0.920","II","aegyptiaca_senegalensis"
"16670","0.739","II","aegyptiaca_senegalensis"
"16691","0.421","II","aegyptiaca_senegalensis"
"16692","0.963","II","aegyptiaca_senegalensis"
"16693","0.969","II","aegyptiaca_senegalensis"
"16694","0.976","II","aegyptiaca_senegalensis"
"16695","0.978","II","aegyptiaca_senegalensis"
"16696","0.801","II","aegyptiaca_senegalensis"
"16697","0.668","II","aegyptiaca_senegalensis"
"16698","0.987","II","aegyptiaca_senegalensis"
"16699","0.317","II","aegyptiaca_senegalensis"
"16700","0.958","II","aegyptiaca_senegalensis"
"16701","0.988","II","aegyptiaca_senegalensis"
"16702","0.982","II","aegyptiaca_senegalensis"
"16703","0.125","II","aegyptiaca_senegalensis"
"16704","0.959","II","aegyptiaca_senegalensis"
"16705","0.666","II","aegyptiaca_senegalensis"
"16706","0.985","II","aegyptiaca_senegalensis"
"16707","0.608","II","aegyptiaca_senegalensis"
"16708","0.983","II","aegyptiaca_senegalensis"
