FID,ID,TRANSECT,DISTANCE
"505","1",A,50400
"506","1",A,50500
"507","1",A,50600
"508","1",A,50700
"509","1",A,50800
"510","1",A,50900
"511","1",A,51000
"512","1",A,51100
"513","1",A,51200
"514","1",A,51300
"515","1",A,51400
"516","1",A,51500
"517","1",A,51600
"518","1",A,51700
"519","1",A,51800
"520","1",A,51900
"521","1",A,52000
"522","1",A,52100
"523","1",A,52200
"524","1",A,52300
"525","1",A,52400
"526","1",A,52500
"527","1",A,52600
"528","1",A,52700
"529","1",A,52800
"530","1",A,52900
"531","1",A,53000
"532","1",A,53100
"533","1",A,53200
"534","1",A,53300
"535","1",A,53400
"536","1",A,53500
"537","1",A,53600
"538","1",A,53700
"539","1",A,53800
"540","1",A,53900
"541","1",A,54000
"542","1",A,54100
"543","1",A,54200
"544","1",A,54300
"545","1",A,54400
"546","1",A,54500
"547","1",A,54600
"548","1",A,54700
"549","1",A,54800
"550","1",A,54900
"551","1",A,55000
"552","1",A,55100
"553","1",A,55200
"554","1",A,55300
"555","1",A,55400
"556","1",A,55500
"557","1",A,55600
"558","1",A,55700
"559","1",A,55800
"560","1",A,55900
"561","1",A,56000
"562","1",A,56100
"563","1",A,56200
"564","1",A,56300
"565","1",A,56400
"566","1",A,56500
"567","1",A,56600
"568","1",A,56700
"569","1",A,56800
"570","1",A,56900
"571","1",A,57000
"572","1",A,57100
"573","1",A,57200
"574","1",A,57300
"575","1",A,57400
"576","1",A,57500
"577","1",A,57600
"578","1",A,57700
"579","1",A,57800
"580","1",A,57900
"581","1",A,58000
"582","1",A,58100
"583","1",A,58200
"584","1",A,58300
"585","1",A,58400
"586","1",A,58500
"587","1",A,58600
"588","1",A,58700
"589","1",A,58800
"590","1",A,58900
"591","1",A,59000
"592","1",A,59100
"593","1",A,59200
"594","1",A,59300
"595","1",A,59400
"596","1",A,59500
"597","1",A,59600
"598","1",A,59700
"599","1",A,59800
"600","1",A,59900
"601","1",A,60000
"602","1",A,60100
"603","1",A,60200
"604","1",A,60300
"605","1",A,60400
"606","1",A,60500
"607","1",A,60600
"608","1",A,60700
"609","1",A,60800
"610","1",A,60900
"611","1",A,61000
"612","1",A,61100
"613","1",A,61200
"614","1",A,61300
"615","1",A,61400
"616","1",A,61500
"617","1",A,61600
"618","1",A,61700
"619","1",A,61800
"620","1",A,61900
"621","1",A,62000
"622","1",A,62100
"623","1",A,62200
"624","1",A,62300
"625","1",A,62400
"626","1",A,62500
"627","1",A,62600
"628","1",A,62700
"629","1",A,62800
"630","1",A,62900
"631","1",A,63000
"632","1",A,63100
"633","1",A,63200
"634","1",A,63300
"635","1",A,63400
"636","1",A,63500
"637","1",A,63600
"638","1",A,63700
"639","1",A,63800
"640","1",A,63900
"641","1",A,64000
"642","1",A,64100
"643","1",A,64200
"644","1",A,64300
"645","1",A,64400
"646","1",A,64500
"647","1",A,64600
"648","1",A,64700
"649","1",A,64800
"650","1",A,64900
"651","1",A,65000
"652","1",A,65100
"653","1",A,65200
"654","1",A,65300
"655","1",A,65400
"656","1",A,65500
"657","1",A,65600
"658","1",A,65700
"659","1",A,65800
"660","1",A,65900
"661","1",A,66000
"662","1",A,66100
"663","1",A,66200
"664","1",A,66300
"665","1",A,66400
"666","1",A,66500
"667","1",A,66600
"668","1",A,66700
"669","1",A,66800
"670","1",A,66900
"671","1",A,67000
"672","1",A,67100
"673","1",A,67200
"674","1",A,67300
"675","1",A,67400
"676","1",A,67500
"677","1",A,67600
"678","1",A,67700
"679","1",A,67800
"680","1",A,67900
"681","1",A,68000
"682","1",A,68100
"683","1",A,68200
"684","1",A,68300
"685","1",A,68400
"686","1",A,68500
"687","1",A,68600
"688","1",A,68700
"689","1",A,68800
"690","1",A,68900
"691","1",A,69000
"692","1",A,69100
"693","1",A,69200
"694","1",A,69300
"695","1",A,69400
"696","1",A,69500
"697","1",A,69600
"698","1",A,69700
"699","1",A,69800
"700","1",A,69900
"701","1",A,70000
"702","1",A,70100
"703","1",A,70200
"704","1",A,70300
"705","1",A,70400
"706","1",A,70500
"707","1",A,70600
"708","1",A,70700
"709","1",A,70800
"710","1",A,70900
"711","1",A,71000
"712","1",A,71100
"713","1",A,71200
"714","1",A,71300
"715","1",A,71400
"716","1",A,71500
"717","1",A,71600
"718","1",A,71700
"719","1",A,71800
"720","1",A,71900
"721","1",A,72000
"722","1",A,72100
"723","1",A,72200
"724","1",A,72300
"725","1",A,72400
"726","1",A,72500
"727","1",A,72600
"728","1",A,72700
"729","1",A,72800
"730","1",A,72900
"731","1",A,73000
"732","1",A,73100
"733","1",A,73200
"734","1",A,73300
"735","1",A,73400
"736","1",A,73500
"737","1",A,73600
"738","1",A,73700
"739","1",A,73800
"740","1",A,73900
"741","1",A,74000
"742","1",A,74100
"743","1",A,74200
"744","1",A,74300
"745","1",A,74400
"746","1",A,74500
"747","1",A,74600
"748","1",A,74700
"749","1",A,74800
"750","1",A,74900
"751","1",A,75000
"752","1",A,75100
"753","1",A,75200
"754","1",A,75300
"755","1",A,75400
"756","1",A,75500
"757","1",A,75600
"758","1",A,75700
"759","1",A,75800
"760","1",A,75900
"761","1",A,76000
"762","1",A,76100
"763","1",A,76200
"764","1",A,76300
"765","1",A,76400
"766","1",A,76500
"767","1",A,76600
"768","1",A,76700
"769","1",A,76800
"770","1",A,76900
