"INDIVIDUAL_ID","SPECIES","CLASS","HYBRID_ZONE","H_INDEX"
"16596","aegyptiaca","II","aegyptiaca_senegalensis","1"
"16597","aegyptiaca","II","aegyptiaca_senegalensis","1"
"16598","aegyptiaca","II","aegyptiaca_senegalensis","1"
"16599","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16600","aegyptiaca","II","aegyptiaca_senegalensis","1"
"16601","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16602","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16603","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16604","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16605","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16606","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16607","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16608","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16609","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16627","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16628","aegyptiaca","II","aegyptiaca_senegalensis","1"
"16629","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16630","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16631","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16632","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16636","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16637","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16638","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16639","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16640","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16641","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16642","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16643","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16644","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16645","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16646","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16647","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16648","aegyptiaca","II","aegyptiaca_senegalensis","1"
"16671","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16672","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16673","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16674","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16675","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16676","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16677","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16678","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16679","aegyptiaca","II","aegyptiaca_senegalensis","1"
"16680","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16681","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16682","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16683","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16684","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16685","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16686","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16687","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16688","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16689","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16690","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16709","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16710","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16712","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16713","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16714","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16715","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16716","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16717","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16718","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16659","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16660","aegyptiaca","II","aegyptiaca_senegalensis","0"
"16691","aegyptiaca","II","aegyptiaca_senegalensis","1"
"16703","aegyptiaca","II","aegyptiaca_senegalensis","0"
